TransactionID,Item,ItemCategory1,ItemCategory2
1,citrus fruit,fruit and vegetables,fruit
1,semi-finished bread,fresh products,bread and backed goods
1,margarine,processed food,vinegar/oils
1,ready soups,processed food,soups/sauces
2,tropical fruit,fruit and vegetables,fruit
2,yogurt,fresh products,dairy produce
2,coffee,drinks,coffee
3,whole milk,fresh products,dairy produce
4,pip fruit,fruit and vegetables,fruit
4,yogurt,fresh products,dairy produce
4,cream cheese,fresh products,cheese
4,meat spreads,canned food,meat spreads
5,other vegetables,fruit and vegetables,vegetables
5,whole milk,fresh products,dairy produce
5,condensed milk,fresh products,shelf-stable dairy
5,long life bakery product,snacks and candies,long-life bakery products
6,whole milk,fresh products,dairy produce
6,butter,fresh products,dairy produce
6,yogurt,fresh products,dairy produce
6,rice,processed food,staple foods
6,abrasive cleaner,detergent,cleaner
7,rolls/buns,fresh products,bread and backed goods
8,other vegetables,fruit and vegetables,vegetables
8,UHT-milk,fresh products,shelf-stable dairy
8,rolls/buns,fresh products,bread and backed goods
8,bottled beer,drinks,beer
8,liquor (appetizer),drinks,hard drinks
9,pot plants,non-food,garden
10,whole milk,fresh products,dairy produce
10,cereals,processed food,health food
11,tropical fruit,fruit and vegetables,fruit
11,other vegetables,fruit and vegetables,vegetables
11,white bread,fresh products,bread and backed goods
11,bottled water,drinks,non-alc. drinks
11,chocolate,snacks and candies,chocolate
12,citrus fruit,fruit and vegetables,fruit
12,tropical fruit,fruit and vegetables,fruit
12,whole milk,fresh products,dairy produce
12,butter,fresh products,dairy produce
12,curd,fresh products,dairy produce
12,yogurt,fresh products,dairy produce
12,flour,processed food,staple foods
12,bottled water,drinks,non-alc. drinks
12,dishes,non-food,non-food kitchen
13,beef,meat and sausage,beef
14,frankfurter,meat and sausage,sausage
14,rolls/buns,fresh products,bread and backed goods
14,soda,drinks,non-alc. drinks
15,chicken,meat and sausage,poultry
15,tropical fruit,fruit and vegetables,fruit
16,butter,fresh products,dairy produce
16,sugar,processed food,sweetener
16,fruit/vegetable juice,drinks,non-alc. drinks
16,newspapers,non-food,games/books/hobby
17,fruit/vegetable juice,drinks,non-alc. drinks
18,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
19,chocolate,snacks and candies,chocolate
20,specialty bar,snacks and candies,chocolate
21,other vegetables,fruit and vegetables,vegetables
22,butter milk,fresh products,dairy produce
22,pastry,fresh products,bread and backed goods
23,whole milk,fresh products,dairy produce
24,tropical fruit,fruit and vegetables,fruit
24,cream cheese,fresh products,cheese
24,processed cheese,fresh products,cheese
24,detergent,detergent,detergent/softener
24,newspapers,non-food,games/books/hobby
25,tropical fruit,fruit and vegetables,fruit
25,root vegetables,fruit and vegetables,vegetables
25,other vegetables,fruit and vegetables,vegetables
25,frozen dessert,fresh products,frozen foods
25,rolls/buns,fresh products,bread and backed goods
25,flour,processed food,staple foods
25,sweet spreads,canned food,jam/sweet spreads
25,salty snack,snacks and candies,snacks
25,waffles,snacks and candies,long-life bakery products
25,candy,snacks and candies,candy
25,bathroom cleaner,detergent,bathroom cleaner
26,bottled water,drinks,non-alc. drinks
26,canned beer,drinks,beer
27,yogurt,fresh products,dairy produce
28,sausage,meat and sausage,sausage
28,rolls/buns,fresh products,bread and backed goods
28,soda,drinks,non-alc. drinks
28,chocolate,snacks and candies,chocolate
29,other vegetables,fruit and vegetables,vegetables
30,brown bread,fresh products,bread and backed goods
30,soda,drinks,non-alc. drinks
30,fruit/vegetable juice,drinks,non-alc. drinks
30,canned beer,drinks,beer
30,newspapers,non-food,games/books/hobby
30,shopping bags,non-food,bags
31,yogurt,fresh products,dairy produce
31,beverages,fresh products,dairy produce
31,bottled water,drinks,non-alc. drinks
31,specialty bar,snacks and candies,chocolate
32,hamburger meat,meat and sausage,beef
32,other vegetables,fruit and vegetables,vegetables
32,rolls/buns,fresh products,bread and backed goods
32,spices,processed food,condiments
32,bottled water,drinks,non-alc. drinks
32,hygiene articles,perfumery,perfumery
32,napkins,perfumery,perfumery
33,root vegetables,fruit and vegetables,vegetables
33,other vegetables,fruit and vegetables,vegetables
33,whole milk,fresh products,dairy produce
33,beverages,fresh products,dairy produce
33,sugar,processed food,sweetener
34,pork,meat and sausage,pork
34,berries,fruit and vegetables,fruit
34,other vegetables,fruit and vegetables,vegetables
34,whole milk,fresh products,dairy produce
34,whipped/sour cream,fresh products,dairy produce
34,artif. sweetener,processed food,sweetener
34,soda,drinks,non-alc. drinks
34,abrasive cleaner,detergent,cleaner
35,beef,meat and sausage,beef
35,grapes,fruit and vegetables,fruit
